job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
134,Petroleum Engineer,Houston TX,Engineering,100000-150000,Oil exploration company.,Design well drilling programs.,PE license petroleum engineering.,Health relocation 401k,0,1,1,Full-time,Mid-Senior level,Master's Degree,Oil and Energy,Engineering,0
135,Podcast Producer,Los Angeles CA,Media,55000-75000,Media network.,Produce and edit audio content.,Audio editing Adobe Audition.,Creative health PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Broadcast Media,Media Production,0
136,Urgent hiring data entry clerk work from home,Remote,,Weekly pay guaranteed,,No experience data entry work from home now!,Basic computer skills only!,,1,0,0,Part-time,Not Applicable,,,Administrative,1
137,Quantitative Analyst,New York NY,Finance,120000-200000,Proprietary trading firm.,Build algorithmic trading strategies.,PhD math or physics C++ Python.,Bonus health 401k,0,1,1,Full-time,Mid-Senior level,Doctorate,Financial Services,Finance,0
138,Regional Sales Manager,Atlanta GA,Sales,90000-130000,Medical equipment company.,Manage sales team across 5-state region.,7+ years medical sales leadership.,Car allowance health commission,0,1,1,Full-time,Director,Bachelor's Degree,Medical Devices,Sales,0
139,Real work from home jobs no scam,Anywhere,,Real income no tricks,,Legitimate opportunity for honest people,Just apply here!,,1,0,0,Part-time,Not Applicable,,,Internet,1
140,UX Researcher,San Francisco CA,Design,90000-120000,Consumer tech company.,Conduct user interviews and usability studies.,3+ years UX research portfolio.,Equity health unlimited PTO,0,1,1,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Research,0
141,Logistics Manager,Memphis TN,Logistics,80000-110000,Global freight company.,Manage freight operations and team.,7+ years logistics leadership.,Health 401k bonus,0,1,1,Full-time,Director,Bachelor's Degree,Logistics and Supply Chain,Management,0
142,Medical Coder,Remote,Health IT,45000-60000,Healthcare billing company.,Assign ICD-10 codes to medical records.,CPC or CCS certification.,Remote health PTO,1,1,1,Full-time,Associate,Associate Degree,Hospital and Health Care,Information Technology,0
143,Earn money from home right now today,Anywhere,,500 per week cash,,Immediate start no waiting!,Internet connection!,,1,0,0,Part-time,Not Applicable,,,Internet,1
144,Facilities Manager,Houston TX,Operations,70000-95000,Commercial real estate firm.,Manage building operations and maintenance.,5+ years facilities CFM preferred.,Health 401k vehicle,0,1,1,Full-time,Director,Bachelor's Degree,Real Estate,Management,0
145,Power Engineer,Seattle WA,Engineering,95000-130000,Utility company.,Design electrical power systems.,PE license power systems.,Health pension 401k,0,1,1,Full-time,Mid-Senior level,Master's Degree,Utilities,Engineering,0
146,Work from home money daily guaranteed,Anywhere,,Guaranteed $400 daily,,Guaranteed income start now!,No experience!,,1,0,0,Part-time,Not Applicable,,,Internet,1
147,Biostatistician,Cambridge MA,Research,85000-115000,Pharmaceutical company.,Analyze clinical trial data.,PhD biostatistics SAS R.,Health 401k conference budget,0,1,1,Full-time,Mid-Senior level,Doctorate,Pharmaceuticals,Research,0
148,Director of Engineering,San Francisco CA,Engineering,180000-260000,Series B startup.,Lead 40-person engineering organization.,10+ years engineering leadership.,Equity health unlimited PTO,0,1,1,Full-time,Director,Master's Degree,Computer Software,Management,0
149,Online typist needed no experience daily pay,Remote,,150 per day,,Type from home earn daily no experience needed!,Computer and internet!,,1,0,0,Part-time,Not Applicable,,,Administrative,1
150,Meteorologist,Norman OK,Science,60000-80000,National weather service.,Forecast weather and issue warnings.,MS meteorology.,Federal benefits pension,0,1,1,Full-time,Associate,Master's Degree,Government Administration,Research,0
151,Staff Accountant,Minneapolis MN,Finance,50000-65000,Manufacturing company.,Prepare financial statements and reconciliations.,3+ years accounting CPA track.,Health 401k PTO,0,1,0,Full-time,Associate,Bachelor's Degree,Mechanical or Industrial Engineering,Accounting and Finance,0
152,Preschool Teacher,Denver CO,Education,35000-45000,Private school.,Teach early childhood education.,Early childhood certification.,Health pension PTO,0,1,1,Full-time,Entry level,Bachelor's Degree,Primary and Secondary Education,Education,0
153,Work from home no experience needed instant pay,Anywhere,,Instant daily pay,,Start working now from home!,Nothing required!,,1,0,0,Part-time,Not Applicable,,,Internet,1
154,Senior Product Designer,New York NY,Design,110000-150000,Fintech company.,Lead design for core product experience.,7+ years product design Figma.,Equity health unlimited PTO,0,1,1,Full-time,Director,Bachelor's Degree,Financial Services,Design,0
155,Food Scientist,Minneapolis MN,R&D,70000-95000,Consumer food brand.,Develop new food products.,Food science degree sensory eval.,Health 401k product perks,0,1,1,Full-time,Associate,Master's Degree,Food and Beverages,Research,0
156,Online jobs from home make 3000 weekly,Anywhere,,3000 weekly easy,,Make $3000 every week from home online!,Phone only!,,1,0,0,Other,Not Applicable,,,Internet,1
157,Platform Engineer,Seattle WA,Engineering,120000-160000,E-commerce company.,Build internal developer platforms.,Kubernetes Terraform CI/CD.,Equity health unlimited PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
158,Landscape Architect,Portland OR,Architecture,65000-90000,Landscape design firm.,Design outdoor public spaces.,LA license portfolio.,Health creative travel,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Architecture and Planning,Design,0
159,Free work from home opportunity unlimited earn,Remote,,Unlimited income,,No limits on your earning potential!,Just motivation!,,1,0,0,Part-time,Not Applicable,,,Internet,1
160,Bioinformatics Scientist,San Diego CA,Research,90000-130000,Genomics startup.,Analyze next-generation sequencing data.,Python R Bioconductor genomics.,Equity health conference budget,0,1,1,Full-time,Mid-Senior level,Doctorate,Biotechnology,Research,0
